Fund,CAGR_1Yr,CAGR_3Yr,CAGR_5Yr,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Max_Drawdown,Expense_Ratio,Score
Fund_9,0.3533252801510942,0.2819024656776048,0.3425430907233069,1.2404820360185678,2.041105729995514,0.14905476921910854,0.6920723198233123,-0.2027379092458671,0.007927204968447966,63.25
Fund_40,0.8192867615981945,0.707562603979897,0.3774664115303865,1.0278477603131224,1.6945411613262058,0.14936666434267057,0.888612886907739,-0.3908253690500746,0.01973436835555043,60.75
Fund_5,0.247673605935256,0.49024159775524545,0.2897503084173172,0.9163492203416775,1.5325695437648146,0.03956049247392172,1.0403450656453939,-0.19542925851543835,0.010974508449001618,56.25
Fund_28,0.36929284703062937,0.6148014463671629,0.2828678921133947,0.925269543838709,1.6027550114311029,0.030234393861447592,1.0488541987739881,-0.31848249197141976,0.010285415742670941,55.75
Fund_22,0.1701239478820491,0.41305814727301393,0.35284569400750465,1.2089271791973872,2.178766373558713,0.10464761204533153,0.9362618328366541,-0.20570424570106938,0.02153317299205414,55.5
Fund_2,0.47562547693504675,0.5394461684860421,0.2848956328398158,0.9277012672778036,1.5800915500634052,0.0022313510028960587,1.1828097056541576,-0.2802883391957811,0.005617792721376122,55.375
Fund_17,0.3194257263254836,0.45620020549817486,0.34180011304457736,1.1182228472764502,1.9475034318320876,0.10198551570520675,0.9239215585834858,-0.18345903855772938,0.02155243076953577,54.875
Fund_13,0.19633521239870388,0.3743091039223012,0.2660245286711016,1.1673224950883876,1.963147918138181,0.08179392471605595,0.7063773145259675,-0.19142773427144177,0.015309250343683991,54.375
Fund_39,0.7278630343058425,0.5510587454725693,0.30461442579854725,0.790055744171175,1.350265029288647,0.053623041630025486,1.1152681780903426,-0.3394960823736898,0.010375866345914026,52.625
Fund_38,0.5362349081418758,0.4226657712697257,0.33308887180814795,1.132364992819917,1.9969946432017887,0.0852034151421704,0.961179890663272,-0.25572070502903355,0.017067577031251942,51.75
Fund_37,1.1881539368482628,0.5825428127628665,0.2885616064904233,0.7605194450378484,1.3031866766064204,0.02644859143641433,1.1739937260726347,-0.32288339322737314,0.01182807015097398,49.625
Fund_1,0.32673502170633784,0.47614790579982014,0.2775832092885415,0.9093561022861698,1.5882307192303693,0.0004072401500113329,1.1640405028497818,-0.28001945114439775,0.008169136682517567,47.875
Fund_23,0.8774370242298575,0.3904823836722806,0.2046441168490476,0.6047474716108947,1.084054083857692,0.0755434102670812,0.5935988562727773,-0.4261586052606371,0.007503563210808602,45.75
Fund_27,-0.016410538609478165,0.2561807398220799,0.24029059433418753,0.8301576999106852,1.5104447476387255,0.04656672457672201,0.8109340946088265,-0.16519939080640977,0.010447490593361222,45.625
Fund_25,0.4744814028106119,0.5012627725203582,0.287628405027164,0.9704101777121716,1.6380755342514053,0.004024368696513364,1.1750568474330225,-0.25743159537712,0.020553559110750536,44.5
Fund_16,0.3499863117862818,0.30815632796273396,0.16643905017294158,0.6516327360516575,1.0818041660253606,0.0005320745050387656,0.7125789041654942,-0.20609785654898738,0.007237294340961937,43.0
Fund_34,0.2479015638699067,0.2910611369499494,0.24154451677072974,0.9339619217356174,1.602406018829237,0.023118487401465958,0.8997132953243001,-0.17158901618638245,0.017499844965099723,40.875
Fund_10,0.010983865006882754,0.19245108823250923,0.19916905072527236,0.6899882594369621,1.1426764232200581,0.04925499415500992,0.6438214209369234,-0.1614067813722917,0.012879526624842147,35.875
Fund_15,0.026843522723464686,0.19097132960854468,0.1782353619778243,0.6006445612860128,0.9761655760156098,0.03894661136764614,0.6127025544324388,-0.207826762452755,0.012735200360128656,28.875
Fund_4,0.2648074271832017,0.25440827113454145,0.14317879265203604,0.4456050206882851,0.7527963584480208,-0.01897254652220308,0.7393281624167293,-0.16599931495720233,0.015439542545586927,26.875
Fund_3,0.20775215617419085,0.24161598762964243,0.11810640722367394,0.35371330458801914,0.6245213067815649,-0.026387741801964612,0.6569012565758702,-0.2624823260561714,0.005685612737875721,26.625
Fund_26,0.46429897700704803,0.35524584193046094,0.16492410641370725,0.45220536414779106,0.7782887522167077,0.016516062748989153,0.7320490708871786,-0.36462472580859706,0.01945408046912879,24.75
Fund_20,0.02595374861427535,0.18036301842772873,0.17663613429710256,0.5197965331669829,0.9140694171850482,-0.045005183335225754,1.0230246264876597,-0.27221056134376564,0.006226474750628048,24.625
Fund_7,0.04768840671553942,0.29350562092421106,0.15621708706539073,0.4632202373424126,0.8063566983190584,-0.020589740100207,0.821173719190502,-0.2516499188388297,0.02183801842990336,22.0
Fund_14,0.26315172184062474,0.28437918274546603,0.19222947070089558,0.5310161476936911,0.927787414685566,-0.06460924786193506,1.2069837441713003,-0.2957306056240915,0.017390433329198388,20.25
Fund_19,0.23391557678755448,0.23157785359896454,0.14819055649928892,0.4446302581732222,0.7695794383828172,-0.018514369169539933,0.7709535641795567,-0.2367329571268536,0.016337365124724952,19.875
Fund_6,0.3654416657668458,0.22681734835511747,0.10999883171509284,0.2881839876397043,0.49327898503250306,-0.053764962578486376,0.7680114451366399,-0.24777307669481086,0.011876778852957239,19.75
Fund_35,0.18503608520801373,0.24787595993147415,0.02036142742412772,-0.047247891593737885,-0.0823552025606306,-0.23083963692904125,1.2733709323939026,-0.47687218928091446,0.012274938951191658,14.125
